monitoring_location,monitoring_sublocation,monitoring_station,year,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,layer_collection_start_depth,layer_collection_end_depth,activity_media_name,laboratory_sample_id,site,collect_date,julian,alk,cond,doc,no2,no3,partc,partn,partp,ph,srsi,tdn,tdp,dic,partfe,ca,cl,fe,k,mg,mn,sodium,so4,chla,o2,spec1,nh3,tds,tss,turbidity,a254,e2_e3,e2_e4,s275_295,s350_400,sr,suva
239,NA,NA,2014,20140401,NA,NA,NA,NA,Precipitation,52,239____,2014-04-01,91,15,8,82,4,461,1650,73,7,5.76,0.02,1531,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140419,NA,NA,NA,NA,Precipitation,53,239____,2014-04-19,109,52,15,121,8,489,2150,135,19,6.26,0.035,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140425,NA,NA,NA,NA,Precipitation,54,239____,2014-04-25,115,11,4,44,3,98,630,50,3,5.62,0.008,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140503,NA,NA,NA,NA,Precipitation,55,239____,2014-05-03,123,3,5,80,1,103,2350,139,4,5.3,0.01,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140508,NA,NA,NA,NA,Precipitation,56,239____,2014-05-08,128,19,13,75,6,435,790,78,8,6.02,0.034,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140510,NA,NA,NA,NA,Precipitation,57,239____,2014-05-10,130,6,3,29,2,45,190,51,2,5.63,0.006,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140512,NA,NA,NA,NA,Precipitation,58,239____,2014-05-12,132,3,4,36,2,87,380,12,6,5.76,0.013,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,3,m,NA,NA,Lake Water,34,626_LA_CB_3_m,2014-05-26,146,109,18,411,NA,NA,580,55,5,6.39,0.229,277,3,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,5,m,NA,NA,Lake Water,35,626_LA_CB_5_m,2014-05-26,146,101,18,416,NA,NA,630,60,6,6.36,0.243,274,3,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,7,m,NA,NA,Lake Water,36,626_LA_CB_7_m,2014-05-26,146,102,19,460,NA,NA,530,72,6,6.21,0.283,289,4,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,9,m,NA,NA,Lake Water,37,626_LA_CB_9_m,2014-05-26,146,97,21,423,NA,NA,490,51,6,6.06,0.477,390,4,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,11,m,NA,NA,Lake Water,38,626_LA_CB_11_m,2014-05-26,146,106,21,421,NA,NA,530,74,7,6.05,0.49,389,4,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,NA,epi,NA,NA,Lake Water,33,626_LA_CB__epi,2014-05-26,146,99,18,424,NA,NA,460,32,6,6.72,0.234,304,3,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,NA,meta,NA,NA,Lake Water,39,626_LA_CB__meta,2014-05-26,146,102,19,420,NA,NA,630,88,7,6.42,0.247,306,3,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140528,NA,NA,NA,NA,Stream Water,65,239_ET_EIF__,2014-05-28,148,166,30,1816,3,14,280,38,2,6.11,4.504,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140528,NA,NA,NA,NA,Stream Water,66,239_LA_OF__,2014-05-28,148,164,28,589,2,50,610,78,5,6.78,2.305,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140528,NA,NA,NA,NA,Stream Water,63,239_NET_NEIF__,2014-05-28,148,0,36,2541,3,2,380,53,3,4.23,4.476,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140528,NA,NA,NA,NA,Stream Water,64,239_NWT_NWIF__,2014-05-28,148,10,22,1497,2,38,350,38,3,4.9,3.887,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140602,NA,epi,NA,NA,Lake Water,77,239_LA_CB__epi,2014-06-02,153,176,27,NA,1,23,500,41,4,7.11,2.269,269,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,5,m,NA,NA,Lake Water,73,442_LA_CB_5_m,2014-06-02,153,133,21,539,1,49,590,52,5,6.31,0.602,309,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,9,m,NA,NA,Lake Water,74,442_LA_CB_9_m,2014-06-02,153,146,23,521,1,96,430,29,4,6.19,0.745,312,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,13,m,NA,NA,Lake Water,75,442_LA_CB_13_m,2014-06-02,153,130,26,450,3,117,590,46,14,6.03,1.194,363,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,17,m,NA,NA,Lake Water,76,442_LA_CB_17_m,2014-06-02,153,616,72,764,10,NA,1630,295,53,6.68,2.668,1358,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,NA,epi,NA,NA,Lake Water,72,442_LA_CB__epi,2014-06-02,153,125,20,586,1,42,530,76,6,6.91,0.528,303,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140603,NA,NA,NA,NA,Precipitation,88,239____,2014-06-03,154,12,4,48,NA,45,4340,267,50,5.11,0,82,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140604,NA,NA,NA,NA,Stream Water,95,239_ET_EIF__,2014-06-04,155,155,30,3039,4,2,540,42,4,5.84,4.086,639,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140604,NA,NA,NA,NA,Stream Water,96,239_LA_OF__,2014-06-04,155,163,27,618,1,12,640,63,5,7.1,2.238,258,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140604,NA,NA,NA,NA,Stream Water,93,239_NET_NEIF__,2014-06-04,155,130,39,3040,3,3,590,48,5,4.18,4.1,647,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140604,NA,NA,NA,NA,Stream Water,94,239_NWT_NWIF__,2014-06-04,155,29,24,1815,2,12,400,31,3,4.87,4.389,550,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NE@LA,2014,20140604,NA,NA,NA,NA,Stream Water,97,239__NE@LA__,2014-06-04,155,5,31,2903,4,3,480,34,5,4.47,4.591,618,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
